super_bowl,artist,num_songs,performance_rating
1,UASMB and others,10,2.9
2,GSUTMB,4,4.1
3,FAMUMB,2,4.3
4,Al Hirt and others,16,4.5
5,SMSMB,2,4.6
6,USAFACC and others,5,5.5
7,Andy Williams and others,7,5.2
8,Judy Mallett and others,5,5.1
9,Mercer Ellington and others,4,5.4
10,Up with People,5,5.5
11,LAUSDACHMB,3,5.9
12,Al Hirt and others,11,7.2
13,Gramacks and others,7,6.9
14,GSUTMB and others,13,7
15,Helen O'Connell and others,6,6.4
16,Up with People,4,7.7
17,LAUSDACHMB,6,7.4
18,UFFGMB and others,14,7.1
19,Tops In Blue,4,7.7
20,Up with People,6,8.3
21,GSUTMB and others,16,7.9
22,Spirit of Troy and others,14,7.3
23,Elvis Presto,7,7.4
24,Pride of Acadiana and others,19,6.8
25,New Kids on the Block,2,7.3
26,Gloria Estefan and others,7,7.3
27,Michael Jackson,5,8.2
28,Wynonna Judd and others,9,8.1
29,Miami Sound Machine and others,8,7.6
30,Diana Ross,10,8.4
31,The Blues Brothers and others,9,7.9
32,The Temptations and others,15,8.1
33,Big Bad Voodoo Daddy and others,8,7.6
34,Toni Braxton and others,4,8
35,Nelly and others,9,7.6
36,U2,3,7.8
37,Shania Twain and others,5,8
38,SHCMB and others,13,8.1
39,Paul McCartney,4,7.8
40,The Rolling Stones,3,8.1
41,FAMUMB and others,8,8.3
42,Tom Petty & the Heartbreakers,4,8.7
43,BSESB,4,8.8
44,The Who,5,9.4
45,Usher and others,10,9.7
46,Cee Lo Green and others,10,9.8
47,Beyonce and others,11,9.5
48,Bruno Mars and others,7,9.8
49,Missy Elliott and others,13,10
50,Gustavo Dudamel and others,22,9.8
51,Lady Gaga,7,9.8
52,Justin Timberlake and others,12,9.1
53,Maroon 5,9,4.1
54,Shakira,7,1.5
55,The Weeknd,9,3
56,Dr. Dre,4,5.1
57,Rihanna,12,8.5
58,Usher,13,6
59,Kendrick Lamar,10,10
60,Bad Bunny and Others,8,9
