super_bowl,network,avg_us_viewers,total_us_viewers,rating_household,share_household,rating_18_49,share_18_49,ad_cost,rating,share,household,cost_of_30_sec_ad
1,CBS,26750000,51180000.0,22.6,43.0,N/A,N/A,42500.0,N/A,N/A,N/A,N/A
1,NBC,24430000,N/A,18.5,36.0,N/A,N/A,37500.0,N/A,N/A,N/A,N/A
2,CBS,39120000,N/A,36.8,68.0,N/A,N/A,54500.0,N/A,N/A,N/A,N/A
3,NBC,41660000,N/A,36.0,70.0,N/A,N/A,55000.0,N/A,N/A,N/A,N/A
4,CBS,44270000,N/A,39.4,69.0,N/A,N/A,78200.0,N/A,N/A,N/A,N/A
5,NBC,46040000,N/A,39.9,75.0,N/A,N/A,72500.0,N/A,N/A,N/A,N/A
6,CBS,56640000,N/A,44.2,74.0,N/A,N/A,86100.0,N/A,N/A,N/A,N/A
7,NBC,53320000,N/A,42.7,72.0,N/A,N/A,88100.0,N/A,N/A,N/A,N/A
8,CBS,51700000,N/A,41.6,73.0,N/A,N/A,103500.0,N/A,N/A,N/A,N/A
9,NBC,56050000,N/A,42.4,72.0,N/A,N/A,107000.0,N/A,N/A,N/A,N/A
10,CBS,57710000,N/A,42.3,78.0,N/A,N/A,110000.0,N/A,N/A,N/A,N/A
11,NBC,62050000,N/A,44.4,73.0,N/A,N/A,125000.0,N/A,N/A,N/A,N/A
12,CBS,78940000,N/A,47.2,67.0,N/A,N/A,162300.0,N/A,N/A,N/A,N/A
13,NBC,74740000,N/A,47.1,74.0,N/A,N/A,185000.0,N/A,N/A,N/A,N/A
14,CBS,76240000,N/A,46.3,67.0,N/A,N/A,222000.0,N/A,N/A,N/A,N/A
15,NBC,68290000,N/A,44.4,63.0,N/A,N/A,275000.0,N/A,N/A,N/A,N/A
16,CBS,85240000,N/A,49.1,73.0,N/A,N/A,324300.0,N/A,N/A,N/A,N/A
17,NBC,81770000,N/A,48.6,69.0,N/A,N/A,400000.0,N/A,N/A,N/A,N/A
18,CBS,77620000,N/A,46.4,71.0,N/A,N/A,368200.0,N/A,N/A,N/A,N/A
19,ABC,85530000,N/A,46.4,63.0,N/A,N/A,525000.0,N/A,N/A,N/A,N/A
20,NBC,92570000,N/A,48.3,70.0,N/A,N/A,550000.0,N/A,N/A,N/A,N/A
21,CBS,87190000,N/A,45.8,66.0,N/A,N/A,600000.0,N/A,N/A,N/A,N/A
22,ABC,80140000,N/A,41.9,62.0,N/A,N/A,645000.0,N/A,N/A,N/A,N/A
23,NBC,81590000,N/A,43.5,68.0,N/A,N/A,675000.0,N/A,N/A,N/A,N/A
24,CBS,73852000,N/A,39.0,67.0,N/A,N/A,700400.0,N/A,N/A,N/A,N/A
25,ABC,79510000,N/A,41.9,63.0,N/A,N/A,800000.0,N/A,N/A,N/A,N/A
26,CBS,79590000,N/A,40.3,61.0,N/A,N/A,850000.0,N/A,N/A,N/A,N/A
27,NBC,90990000,N/A,45.1,66.0,N/A,N/A,850000.0,N/A,N/A,N/A,N/A
28,NBC,90000000,N/A,45.5,66.0,N/A,N/A,900000.0,N/A,N/A,N/A,N/A
29,ABC,83420000,N/A,41.3,62.0,N/A,N/A,1150000.0,N/A,N/A,N/A,N/A
30,NBC,94080000,N/A,46.0,68.0,41.2,N/A,1085000.0,N/A,N/A,N/A,N/A
31,Fox,87870000,N/A,43.3,65.0,N/A,N/A,1200000.0,N/A,N/A,N/A,N/A
32,NBC,90000000,N/A,44.5,67.0,N/A,N/A,1291100.0,N/A,N/A,N/A,N/A
33,Fox,83720000,N/A,40.2,61.0,36.4,N/A,1600000.0,N/A,N/A,N/A,N/A
34,ABC,88465000,N/A,43.3,63.0,37.9,N/A,2100000.0,N/A,N/A,N/A,N/A
35,CBS,84335000,N/A,40.4,61.0,N/A,N/A,2200000.0,N/A,N/A,N/A,N/A
36,Fox,86801000,N/A,40.4,61.0,N/A,N/A,2200000.0,N/A,N/A,N/A,N/A
37,ABC,88637000,138500000.0,40.7,61.0,N/A,N/A,2200000.0,N/A,N/A,N/A,N/A
38,CBS,89795000,144400000.0,41.4,63.0,N/A,N/A,2302200.0,N/A,N/A,N/A,N/A
39,Fox,86072000,N/A,41.1,62.0,N/A,N/A,2400000.0,N/A,N/A,N/A,N/A
40,ABC,90745000,141400000.0,41.6,62.0,N/A,N/A,2500000.0,N/A,N/A,N/A,N/A
41,CBS,93184000,139800000.0,42.6,64.0,35.2,N/A,2385365.0,N/A,N/A,N/A,N/A
42,Fox,97448000,148300000.0,43.1,65.0,37.5,N/A,2699963.0,N/A,N/A,N/A,N/A
43,NBC,98732000,151600000.0,42.0,64.0,36.7,N/A,3000000.0,N/A,N/A,N/A,N/A
44,CBS,106476000,153400000.0,45.0,68.0,38.6,N/A,2800000.0,N/A,N/A,N/A,N/A
45,Fox,111041000,162900000.0,46.0,69.0,39.9,N/A,3100000.0,N/A,N/A,N/A,N/A
46,NBC,111346000,163500000.0,47.0,71.0,40.5,N/A,3500000.0,N/A,N/A,N/A,N/A
47,CBS,108693000,164100000.0,46.3,69.0,39.7,77.0,4000000.0,N/A,N/A,N/A,N/A
48,Fox,112191000,167000000.0,46.7,69.0,39.3,77.0,4000000.0,N/A,N/A,N/A,N/A
49,NBC,114442000,168000000.0,47.5,71.0,39.1,79.0,4500000.0,N/A,N/A,N/A,N/A
50,CBS,111864000,167000000.0,46.6,72.0,37.7,79.0,5000000.0,N/A,N/A,N/A,N/A
51,Fox,111319000,172000000.0,45.3,73.0,37.1,79.0,5000000.0,N/A,N/A,N/A,N/A
52,NBC,103390000,N/A,43.1,68.0,33.4,78.0,5000000.0,N/A,N/A,N/A,N/A
53,CBS,98.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,FOX,102.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,CBS,96.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,NBC,99.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,FOX,113.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,CBS,123.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,FOX,127.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
